frequency,wind_speed,distance,wind_direction,flow_resistivity,Nord2000 (delhom),Acventum (delhom),BE2 (Iso9613),Iso9613 (windPro),Nord2000 (windPro)
100,3,1000,0,12.5,-2.6,-0.115,-5.05,-5.185,-1.995
125,3,1000,0,12.5,-2.2,-0.235,-5.194,-5.185,1.305
160,3,1000,0,12.5,-1.7,-0.395,-5.443,-5.185,2.805
200,3,1000,0,12.5,-1.6,-0.595,-6.923,-7.205,1.105
250,3,1000,0,12.5,-1.1,-0.835,-7.164,-7.205,-1.995
315,3,1000,0,12.5,-1.4,-1.115,-7.583,-7.205,-0.695
400,3,1000,0,12.5,-2.1,-1.425,-4.186,-4.565,-1.495
500,3,1000,0,12.5,-2.4,-1.735,-4.562,-4.565,-1.595
630,3,1000,0,12.5,-2.6,-2.095,-4.994,-4.565,-1.695
800,3,1000,0,12.5,-2.8,-2.565,-3.471,-4.255,-3.495
1000,3,1000,0,12.5,-3.2,-3.145,-4.295,-4.255,-3.395
1250,3,1000,0,12.5,-3.8,-4.005,-5.386,-4.255,-2.795
1600,3,1000,0,12.5,-5.4,-5.455,-6.975,-9.615,-6.695
2000,3,1000,0,12.5,-8.3,-7.525,-9.595,-9.615,-7.495
2500,3,1000,0,12.5,-12.4,-10.715,-13.765,-9.615,-14.795
3150,3,1000,0,12.5,-18.6,-15.895,-20.393,-30.685,-18.895
4000,3,1000,0,12.5,-28.6,-24.355,-30.665,-30.685,-30.595
5000,3,1000,0,12.5,-44.6,-36.705,-46.843,-30.685,-42.995
6300,3,1000,0,12.5,-67.1,-56.395,-71.674,-109.745,-63.895
8000,3,1000,0,12.5,-100.7,-87.775,-106.384,-109.745,-89.695
10000,3,1000,0,12.5,-150,-131.715,-109.103,-109.745,-116.895
50,3,1000,90,12.5,-3.1,3.005,2.937,2.875,0.705
63,3,1000,90,12.5,-3.4,2.995,2.903,2.875,-1.895
80,3,1000,90,12.5,-3,2.985,2.812,2.875,-3.695
100,3,1000,90,12.5,-2.6,-0.045,-5.05,-5.185,-3.095
125,3,1000,90,12.5,-2.2,-0.075,-5.194,-5.185,-0.395
160,3,1000,90,12.5,-1.7,-0.125,-5.443,-5.185,1.905
200,3,1000,90,12.5,-1.6,-0.185,-6.923,-7.205,2.505
250,3,1000,90,12.5,-1.1,-0.255,-7.164,-7.205,-0.095
315,3,1000,90,12.5,-1.4,-0.335,-7.583,-7.205,-3.595
400,3,1000,90,12.5,-2.1,-0.425,-4.186,-4.565,0.205
500,3,1000,90,12.5,-2.4,-0.515,-4.562,-4.565,-1.395
630,3,1000,90,12.5,-2.6,-0.625,-4.994,-4.565,-2.095
800,3,1000,90,12.5,-2.9,-0.755,-3.471,-4.255,-3.295
1000,3,1000,90,12.5,-3.2,-0.935,-4.295,-4.255,-2.295
1250,3,1000,90,12.5,-3.8,-1.185,-5.386,-4.255,-3.295
1600,3,1000,90,12.5,-5.4,-1.615,-6.975,-9.615,-5.895
2000,3,1000,90,12.5,-8.3,-2.215,-9.595,-9.615,-9.495
2500,3,1000,90,12.5,-12.4,-3.155,-13.765,-9.615,-15.295
3150,3,1000,90,12.5,-18.6,-4.685,-20.393,-30.685,-18.095
4000,3,1000,90,12.5,-28.6,-7.165,-30.665,-30.685,-27.695
5000,3,1000,90,12.5,-44.6,-10.805,-46.843,-30.685,-44.895
6300,3,1000,90,12.5,-67.1,-16.595,-71.674,-109.745,-63.495
8000,3,1000,90,12.5,-100.7,-25.825,-106.384,-109.745,-87.995
10000,3,1000,90,12.5,-150,-38.745,-109.103,-109.745,-118.495
50,3,1000,180,12.5,-3.1,3.495,2.937,2.875,1.305
63,3,1000,180,12.5,-3.5,3.385,2.903,2.875,-0.695
80,3,1000,180,12.5,-3.1,3.195,2.812,2.875,-2.295
100,3,1000,180,12.5,-2.7,-0.045,-5.05,-5.185,-2.395
125,3,1000,180,12.5,-2.3,-0.415,-5.194,-5.185,-1.295
160,3,1000,180,12.5,-1.8,-0.975,-5.443,-5.185,0.005
200,3,1000,180,12.5,-1.7,-1.645,-6.923,-7.205,1.005
250,3,1000,180,12.5,-1.4,-2.445,-7.164,-7.205,0.505
315,3,1000,180,12.5,-1.1,-3.345,-7.583,-7.205,-1.395
400,3,1000,180,12.5,-2.1,-4.395,-4.186,-4.565,-0.595
500,3,1000,180,12.5,-2.4,-5.435,-4.562,-4.565,-2.195
630,3,1000,180,12.5,-2.7,-6.635,-4.994,-4.565,-2.395
800,3,1000,180,12.5,-3,-8.175,-3.471,-4.255,-1.995
1000,3,1000,180,12.5,-3.4,-10.125,-4.295,-4.255,-4.695
1250,3,1000,180,12.5,-4.1,-12.985,-5.386,-4.255,-3.795
1600,3,1000,180,12.5,-5.4,-17.835,-6.975,-9.615,-6.995
2000,3,1000,180,12.5,-8.3,-24.715,-9.595,-9.615,-10.495
2500,3,1000,180,12.5,-12.4,-35.365,-13.765,-9.615,-14.695
3150,3,1000,180,12.5,-18.6,-52.625,-20.393,-30.685,-18.895
4000,3,1000,180,12.5,-28.6,-80.825,-30.665,-30.685,-30.595
5000,3,1000,180,12.5,-44.6,-121.985,-46.843,-30.685,-44.395
6300,3,1000,180,12.5,-67.1,-187.615,-71.674,-109.745,-62.495
8000,3,1000,180,12.5,-100.7,-292.245,-106.384,-109.745,-89.995
10000,3,1000,180,12.5,-150.1,-438.705,-109.103,-109.745,-118.295
50,5,1000,0,12.5,-4,3.045,2.937,2.875,-1.495
63,5,1000,0,12.5,-4.5,3.005,2.903,2.875,-3.795
80,5,1000,0,12.5,-4.2,2.955,2.812,2.875,-3.595
100,5,1000,0,12.5,-3.9,-0.115,-5.05,-5.185,-1.095
125,5,1000,0,12.5,-3.8,-0.235,-5.194,-5.185,1.905
160,5,1000,0,12.5,-3.9,-0.395,-5.443,-5.185,2.205
200,5,1000,0,12.5,-4.2,-0.595,-6.923,-7.205,-0.195
250,5,1000,0,12.5,-4.4,-0.835,-7.164,-7.205,-0.895
315,5,1000,0,12.5,-4.7,-1.115,-7.583,-7.205,-1.595
